publisher,avg_net_score,game_count,total_net_score
Day Dreamer Games,40.714285714285715,7,285.0
E McNeill,40.5,6,243.0
Remix Games,40.375,8,323.0
b-alive gmbh,40.15384615384615,13,522.0
Winter Wolves,40.0,30,1200.0
Midori Games / みどりげーむず,40.0,5,200.0
GoGo Games Interactive,39.916666666666664,12,479.0
Mystael studio,39.8,5,199.0
KomBits Game Studio,39.333333333333336,6,236.0
QubicGames,39.17857142857143,28,1097.0
Nyanco Channel,39.142857142857146,7,274.0
Nibb Games,39.111111111111114,9,352.0
Adam DeLease,39.0,5,195.0
VRKiwi,39.0,12,468.0
Doesn't Matter Games,38.875,8,311.0
resnijars,38.8,5,194.0
Performance Artist,38.7,10,387.0
Cronostase,38.44444444444444,9,346.0
DevilishGames,38.285714285714285,7,268.0
Abyssal Studios,37.888888888888886,9,341.0
FobTi interactive,37.857142857142854,7,265.0
Rainbow Games,37.1,10,371.0
Cult Software,37.0,7,259.0
Next Game,37.0,16,592.0
Ratalaika Games S.L.,36.82857142857143,35,1289.0
